matrix,rows,cols,density_pct,nnz,threads,configuration,bind_policy,time_ms,speedup,efficiency_pct,std_dev_ms,improvement_pct,exit_code,notes
"10k_1p5.mtx",9506,9506,1.5037,1358832,24,"Static+SIMD+close","close",0.10,1.36,5.67,0.0,0.00,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,24,"Static+SIMD+spread","spread",0.10,1.35,5.62,0.0,-0.83,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,24,"Dynamic+SIMD+spread","spread",0.13,1.00,4.17,0.0,-36.02,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,48,"Dynamic+SIMD+spread","spread",21.22,1.23,2.55,0.0,0.00,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,48,"Static+SIMD+spread","spread",26.00,1.00,2.08,0.0,-22.53,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,48,"Static+SIMD+close","close",26.00,1.00,2.08,0.0,-22.54,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,72,"Dynamic+SIMD+spread","spread",0.36,1.27,1.77,0.0,0.00,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,72,"Static+SIMD+close","close",0.40,1.14,1.58,0.0,-11.99,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,72,"Static+SIMD+spread","spread",0.46,1.00,1.39,0.0,-27.48,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,96,"Dynamic+SIMD+spread","spread",0.48,1.41,1.47,0.0,0.00,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,96,"Static+SIMD+close","close",0.57,1.20,1.25,0.0,-17.46,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,96,"Static+SIMD+spread","spread",0.68,1.00,1.04,0.0,-41.09,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,24,"Static+SIMD+close","close",0.04,1.52,6.33,0.0,0.00,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,24,"Static+SIMD+spread","spread",0.07,1.00,4.17,0.0,-51.76,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,24,"Dynamic+SIMD+spread","spread",0.07,1.00,4.17,0.0,-51.97,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,48,"Static+SIMD+close","close",0.03,2.77,5.78,0.0,0.00,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,48,"Static+SIMD+spread","spread",0.03,2.63,5.48,0.0,-5.56,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,48,"Dynamic+SIMD+spread","spread",0.08,1.00,2.08,0.0,-177.46,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,72,"Static+SIMD+close","close",0.34,1.17,1.63,0.0,0.00,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,72,"Dynamic+SIMD+spread","spread",0.37,1.08,1.50,0.0,-8.30,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,72,"Static+SIMD+spread","spread",0.40,1.00,1.39,0.0,-17.27,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,96,"Dynamic+SIMD+spread","spread",0.42,1.28,1.33,0.0,0.00,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,96,"Static+SIMD+close","close",0.44,1.22,1.28,0.0,-4.66,0,""
"11k_0p35.mtx",10974,10974,0.3559,428650,96,"Static+SIMD+spread","spread",0.54,1.00,1.04,0.0,-28.11,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,24,"Static+SIMD+close","close",0.03,2.00,8.34,0.0,0.00,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,24,"Static+SIMD+spread","spread",0.04,1.82,7.60,0.0,-9.70,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,24,"Dynamic+SIMD+spread","spread",0.07,1.00,4.17,0.0,-100.06,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,48,"Dynamic+SIMD+spread","spread",0.08,342.78,714.12,0.0,0.00,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,48,"Static+SIMD+close","close",24.00,1.08,2.26,0.0,-31545.89,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,48,"Static+SIMD+spread","spread",26.00,1.00,2.08,0.0,-34177.79,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,72,"Dynamic+SIMD+spread","spread",0.33,1.17,1.62,0.0,0.00,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,72,"Static+SIMD+spread","spread",0.36,1.07,1.49,0.0,-9.12,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,72,"Static+SIMD+close","close",0.39,1.00,1.39,0.0,-16.81,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,96,"Static+SIMD+close","close",0.43,1.15,1.19,0.0,0.00,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,96,"Dynamic+SIMD+spread","spread",0.44,1.11,1.16,0.0,-2.97,0,""
"11k_0p38.mtx",10605,10605,0.3775,424587,96,"Static+SIMD+spread","spread",0.49,1.00,1.04,0.0,-14.59,0,""
"15k_0p41.mtx",15449,15449,0.8089,1930655,24,"Static+SIMD+close","close",0.12,1.63,6.78,0.0,0.00,0,""
"15k_0p41.mtx",15449,15449,0.8089,1930655,24,"Static+SIMD+spread","spread",0.13,1.49,6.20,0.0,-9.35,0,""
"15k_0p41.mtx",15449,15449,0.8089,1930655,24,"Dynamic+SIMD+spread","spread",0.20,1.00,4.17,0.0,-62.77,0,""
"15k_0p41.mtx",15449,15449,0.8089,1930655,48,"Dynamic+SIMD+spread","spread",0.18,138.89,289.34,0.0,0.00,0,""
"15k_0p41.mtx",15449,15449,0.8089,1930655,48,"Static+SIMD+close","close",9.04,2.73,5.68,0.0,-4993.49,0,""
