matrix,rows,cols,density_pct,nnz,threads,configuration,time_ms,speedup,efficiency_pct,std_dev_ms,improvement_pct,exit_code,notes
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static (default)",121.628,1.01,4.2,0.807,0.00,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static, chunk=8",121.769,1.01,4.2,0.269,,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static, chunk=32",121.698,1.01,4.2,0.061,,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic, chunk=8",121.836,1.01,4.2,0.276,,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic, chunk=16",121.692,1.01,4.2,0.066,,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic, chunk=32",121.612,1.01,4.2,0.632,0.01,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic, chunk=64",122.110,1.01,4.2,1.650,,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided, chunk=8",124.298,0.99,4.1,11.140,,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided, chunk=16",121.691,1.01,4.2,0.049,,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided, chunk=32",121.689,1.01,4.2,0.048,,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Auto (runtime)",125.117,0.98,4.1,14.995,,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD, chunk=8",1.717,71.59,298.3,0.008,98.59,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD, chunk=16",1.709,71.95,299.8,0.007,98.60,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD, chunk=32",1.700,72.33,301.4,0.005,98.60,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic+SIMD, chunk=8",1.740,70.67,294.5,0.004,98.57,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic+SIMD, chunk=16",1.722,71.39,297.5,0.007,98.58,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic+SIMD, chunk=32",1.714,71.74,298.9,0.004,98.59,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD, chunk=8",2.330,52.77,219.9,2.189,98.08,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD, chunk=16",1.709,71.95,299.8,0.024,98.60,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD, chunk=32",1.696,72.50,302.1,0.005,98.61,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD+Affinity,",1.697,72.44,301.9,0.007,98.60,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD+Affinity,",1.699,72.36,301.5,0.008,98.60,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD+Affinity,",1.713,71.79,299.1,0.010,98.59,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD+Register,",1.708,71.97,299.9,0.017,98.60,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD+Register,",1.695,72.54,302.3,0.010,98.61,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD+Register,",1.698,72.41,301.7,0.004,98.60,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD+Register,",1.715,71.70,298.8,0.016,98.59,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Task-based+SIMD",1.862,66.04,275.2,0.007,98.47,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD+Align+Affin,",1.696,72.51,302.1,0.009,98.61,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD+Align+Affin,",1.692,72.66,302.8,0.005,98.61,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,2,"Static (default)",60.888,2.11,8.8,0.042,0.00,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,2,"Static, chunk=8",61.785,2.08,8.6,4.535,,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,2,"Static, chunk=32",63.929,2.01,8.4,11.728,,0,""
