Matrix,Threads,Config,Optimization,Time_ms,Speedup_vs_Serial,Speedup_vs_Phase1,Improvement_Percent
10k_1p5.mtx,2,RegBlock-4 + Baseline,Baseline,0.4257,263.0,46.93,+46.93
10k_1p5.mtx,2,RegBlock-8 + Baseline,Baseline,0.4377,255.8,45.45,+45.45
10k_1p5.mtx,2,Prefetch-8 + Baseline,Baseline,0.8637,129.6,-7.66,-7.66
10k_1p5.mtx,2,Prefetch-16 + Baseline,Baseline,0.8450,132.5,-5.33,-5.33
10k_1p5.mtx,2,RegBlock4 + Prefetch8,Combined,0.4795,233.5,40.23,+40.23
10k_1p5.mtx,2,RegBlock4 + Prefetch16,Combined,0.4743,236.1,40.87,+40.87
10k_1p5.mtx,2,RegBlock8 + Prefetch8,Combined,0.4551,246.0,43.27,+43.27
10k_1p5.mtx,4,RegBlock-4 + Baseline,Baseline,0.2147,520.3,45.90,+45.90
10k_1p5.mtx,4,RegBlock-8 + Baseline,Baseline,0.2186,511.1,44.93,+44.93
10k_1p5.mtx,4,Prefetch-8 + Baseline,Baseline,0.4284,260.8,-7.93,-7.93
10k_1p5.mtx,4,Prefetch-16 + Baseline,Baseline,0.4184,267.0,-5.41,-5.41
10k_1p5.mtx,4,RegBlock4 + Prefetch8,Combined,0.2398,465.8,39.58,+39.58
10k_1p5.mtx,4,RegBlock4 + Prefetch16,Combined,0.2353,474.7,40.71,+40.71
10k_1p5.mtx,4,RegBlock8 + Prefetch8,Combined,0.2283,489.4,42.49,+42.49
10k_1p5.mtx,8,RegBlock-4 + Baseline,Baseline,0.1097,1091.7,45.67,+45.67
10k_1p5.mtx,8,RegBlock-8 + Baseline,Baseline,0.1115,1073.8,44.77,+44.77
10k_1p5.mtx,8,Prefetch-8 + Baseline,Baseline,0.2175,550.6,-7.72,-7.72
10k_1p5.mtx,8,Prefetch-16 + Baseline,Baseline,0.2137,560.3,-5.86,-5.86
10k_1p5.mtx,8,RegBlock4 + Prefetch8,Combined,0.1227,976.1,39.24,+39.24
10k_1p5.mtx,8,RegBlock4 + Prefetch16,Combined,0.1204,994.9,40.39,+40.39
10k_1p5.mtx,8,RegBlock8 + Prefetch8,Combined,0.1168,1025.6,42.17,+42.17
10k_1p5.mtx,16,RegBlock-4 + Baseline,Baseline,0.0568,2061.7,47.37,+47.37
10k_1p5.mtx,16,RegBlock-8 + Baseline,Baseline,0.0579,2022.7,46.35,+46.35
10k_1p5.mtx,16,Prefetch-8 + Baseline,Baseline,0.1154,1014.5,-6.97,-6.97
10k_1p5.mtx,16,Prefetch-16 + Baseline,Baseline,0.1135,1030.7,-5.29,-5.29
10k_1p5.mtx,16,RegBlock4 + Prefetch8,Combined,0.0652,1796.0,39.58,+39.58
10k_1p5.mtx,16,RegBlock4 + Prefetch16,Combined,0.0645,1814.0,40.18,+40.18
10k_1p5.mtx,16,RegBlock8 + Prefetch8,Combined,0.0625,1872.5,42.05,+42.05
10k_1p5.mtx,24,RegBlock-4 + Baseline,Baseline,0.0462,2422.4,44.30,+44.30
10k_1p5.mtx,24,RegBlock-8 + Baseline,Baseline,0.0475,2355.0,42.71,+42.71
10k_1p5.mtx,24,Prefetch-8 + Baseline,Baseline,0.0873,1281.9,-5.25,-5.25
10k_1p5.mtx,24,Prefetch-16 + Baseline,Baseline,0.1098,1019.0,-32.40,-32.40
10k_1p5.mtx,24,RegBlock4 + Prefetch8,Combined,0.0544,2055.5,34.36,+34.36
10k_1p5.mtx,24,RegBlock4 + Prefetch16,Combined,0.0712,1570.4,14.09,+14.09
10k_1p5.mtx,24,RegBlock8 + Prefetch8,Combined,0.0519,2155.0,37.40,+37.40
11k_0p35.mtx,2,RegBlock-4 + Baseline,Baseline,0.1487,1002.8,31.37,+31.37
11k_0p35.mtx,2,RegBlock-8 + Baseline,Baseline,0.1671,892.5,22.89,+22.89
11k_0p35.mtx,2,Prefetch-8 + Baseline,Baseline,0.2648,563.2,-22.20,-22.20
11k_0p35.mtx,2,Prefetch-16 + Baseline,Baseline,0.2572,579.8,-18.69,-18.69
11k_0p35.mtx,2,RegBlock4 + Prefetch8,Combined,0.1721,866.5,20.57,+20.57
11k_0p35.mtx,2,RegBlock4 + Prefetch16,Combined,0.1654,901.6,23.67,+23.67
11k_0p35.mtx,2,RegBlock8 + Prefetch8,Combined,0.1731,861.5,20.12,+20.12
11k_0p35.mtx,4,RegBlock-4 + Baseline,Baseline,0.0788,1977.3,30.98,+30.98
11k_0p35.mtx,4,RegBlock-8 + Baseline,Baseline,0.0859,1813.0,24.73,+24.73
11k_0p35.mtx,4,Prefetch-8 + Baseline,Baseline,0.1364,1141.6,-19.54,-19.54
11k_0p35.mtx,4,Prefetch-16 + Baseline,Baseline,0.1327,1174.0,-16.24,-16.24
11k_0p35.mtx,4,RegBlock4 + Prefetch8,Combined,0.0890,1750.2,22.03,+22.03
11k_0p35.mtx,4,RegBlock4 + Prefetch16,Combined,0.0865,1800.0,24.18,+24.18
11k_0p35.mtx,4,RegBlock8 + Prefetch8,Combined,0.0893,1743.4,21.72,+21.72
11k_0p35.mtx,8,RegBlock-4 + Baseline,Baseline,0.0559,2673.9,23.26,+23.26
11k_0p35.mtx,8,RegBlock-8 + Baseline,Baseline,0.0605,2470.3,16.94,+16.94
11k_0p35.mtx,8,Prefetch-8 + Baseline,Baseline,0.0927,1613.1,-27.20,-27.20
11k_0p35.mtx,8,Prefetch-16 + Baseline,Baseline,0.0891,1678.4,-22.26,-22.26
11k_0p35.mtx,8,RegBlock4 + Prefetch8,Combined,0.0646,2314.1,11.33,+11.33
11k_0p35.mtx,8,RegBlock4 + Prefetch16,Combined,0.0614,2436.0,15.77,+15.77
11k_0p35.mtx,8,RegBlock8 + Prefetch8,Combined,0.0648,2308.1,11.10,+11.10
11k_0p35.mtx,16,RegBlock-4 + Baseline,Baseline,0.0340,4566.1,19.39,+19.39
11k_0p35.mtx,16,Prefetch-8 + Baseline,Baseline,0.0566,2737.3,-34.46,-34.46
11k_0p35.mtx,16,Prefetch-16 + Baseline,Baseline,0.0545,2846.9,-29.28,-29.28
11k_0p35.mtx,16,RegBlock8 + Prefetch8,Combined,0.0454,3416.2,-7.74,-7.74
11k_0p35.mtx,24,RegBlock-8 + Baseline,Baseline,0.0290,5138.2,11.87,+11.87
11k_0p35.mtx,24,Prefetch-8 + Baseline,Baseline,0.0380,3916.9,-15.61,-15.61
11k_0p35.mtx,24,Prefetch-16 + Baseline,Baseline,0.0363,4099.8,-10.45,-10.45
11k_0p35.mtx,24,RegBlock4 + Prefetch8,Combined,0.0292,5104.7,11.29,+11.29
11k_0p35.mtx,24,RegBlock4 + Prefetch16,Combined,0.0288,5172.4,12.45,+12.45
11k_0p38.mtx,2,RegBlock-4 + Baseline,Baseline,0.1375,1016.6,39.06,+39.06
11k_0p38.mtx,2,RegBlock-8 + Baseline,Baseline,0.1417,985.8,37.15,+37.15
11k_0p38.mtx,2,Prefetch-8 + Baseline,Baseline,0.2580,541.6,-14.40,-14.40
11k_0p38.mtx,2,Prefetch-16 + Baseline,Baseline,0.2549,548.2,-13.00,-13.00
11k_0p38.mtx,2,RegBlock4 + Prefetch8,Combined,0.1542,906.0,31.62,+31.62
11k_0p38.mtx,2,RegBlock4 + Prefetch16,Combined,0.1514,922.6,32.85,+32.85
11k_0p38.mtx,2,RegBlock8 + Prefetch8,Combined,0.1500,931.7,33.51,+33.51
11k_0p38.mtx,4,RegBlock-4 + Baseline,Baseline,0.0715,2042.0,42.03,+42.03
11k_0p38.mtx,4,RegBlock-8 + Baseline,Baseline,0.0735,1987.2,40.43,+40.43
11k_0p38.mtx,4,Prefetch-8 + Baseline,Baseline,0.1358,1075.7,-10.05,-10.05
11k_0p38.mtx,4,Prefetch-16 + Baseline,Baseline,0.1336,1093.6,-8.25,-8.25
11k_0p38.mtx,4,RegBlock4 + Prefetch8,Combined,0.0810,1804.4,34.39,+34.39
11k_0p38.mtx,4,RegBlock4 + Prefetch16,Combined,0.0794,1840.2,35.67,+35.67
11k_0p38.mtx,4,RegBlock8 + Prefetch8,Combined,0.0791,1846.4,35.88,+35.88
11k_0p38.mtx,8,RegBlock-4 + Baseline,Baseline,0.0424,3304.4,37.78,+37.78
11k_0p38.mtx,8,RegBlock-8 + Baseline,Baseline,0.0447,3136.3,34.45,+34.45
11k_0p38.mtx,8,Prefetch-8 + Baseline,Baseline,0.0737,1902.3,-8.08,-8.08
11k_0p38.mtx,8,Prefetch-16 + Baseline,Baseline,0.0731,1918.5,-7.17,-7.17
11k_0p38.mtx,8,RegBlock4 + Prefetch8,Combined,0.0471,2976.3,30.92,+30.92
11k_0p38.mtx,8,RegBlock4 + Prefetch16,Combined,0.0463,3029.3,32.13,+32.13
11k_0p38.mtx,8,RegBlock8 + Prefetch8,Combined,0.0464,3024.2,32.02,+32.02
11k_0p38.mtx,16,RegBlock-4 + Baseline,Baseline,0.0284,5155.1,30.28,+30.28
11k_0p38.mtx,16,RegBlock-8 + Baseline,Baseline,0.0320,4576.0,21.46,+21.46
11k_0p38.mtx,16,Prefetch-8 + Baseline,Baseline,0.0442,3312.4,-8.51,-8.51
11k_0p38.mtx,16,Prefetch-16 + Baseline,Baseline,0.0434,3368.7,-6.69,-6.69
11k_0p38.mtx,16,RegBlock4 + Prefetch8,Combined,0.0303,4829.8,25.58,+25.58
11k_0p38.mtx,16,RegBlock4 + Prefetch16,Combined,0.0299,4901.2,26.67,+26.67
11k_0p38.mtx,16,RegBlock8 + Prefetch8,Combined,0.0301,4853.8,25.95,+25.95
11k_0p38.mtx,24,RegBlock-4 + Baseline,Baseline,0.0289,4841.4,14.74,+14.74
11k_0p38.mtx,24,RegBlock-8 + Baseline,Baseline,0.0252,5561.9,25.78,+25.78
11k_0p38.mtx,24,Prefetch-8 + Baseline,Baseline,0.0356,3932.7,-4.96,-4.96
11k_0p38.mtx,24,Prefetch-16 + Baseline,Baseline,0.0355,3950.0,-4.50,-4.50
11k_0p38.mtx,24,RegBlock4 + Prefetch8,Combined,0.0256,5480.6,24.68,+24.68
11k_0p38.mtx,24,RegBlock4 + Prefetch16,Combined,0.0251,5579.1,26.01,+26.01
11k_0p38.mtx,24,RegBlock8 + Prefetch8,Combined,0.0249,5637.8,26.78,+26.78
15k_0p41.mtx,2,RegBlock-4 + Baseline,Baseline,0.6124,483.8,44.97,+44.97
15k_0p41.mtx,2,RegBlock-8 + Baseline,Baseline,0.6225,476.0,44.06,+44.06
15k_0p41.mtx,2,Prefetch-8 + Baseline,Baseline,1.2094,245.0,-8.68,-8.68
15k_0p41.mtx,2,Prefetch-16 + Baseline,Baseline,1.1835,250.4,-6.35,-6.35
15k_0p41.mtx,2,RegBlock4 + Prefetch8,Combined,0.6844,433.0,38.50,+38.50
15k_0p41.mtx,2,RegBlock4 + Prefetch16,Combined,0.6749,439.0,39.35,+39.35
15k_0p41.mtx,2,RegBlock8 + Prefetch8,Combined,0.6508,455.3,41.51,+41.51
15k_0p41.mtx,4,RegBlock-4 + Baseline,Baseline,0.3099,960.6,44.56,+44.56
15k_0p41.mtx,4,RegBlock-8 + Baseline,Baseline,0.3148,945.6,43.68,+43.68
15k_0p41.mtx,4,Prefetch-8 + Baseline,Baseline,0.6052,491.8,-8.29,-8.29
15k_0p41.mtx,4,Prefetch-16 + Baseline,Baseline,0.5919,502.9,-5.91,-5.91
15k_0p41.mtx,4,RegBlock4 + Prefetch8,Combined,0.3424,869.4,38.74,+38.74
15k_0p41.mtx,4,RegBlock4 + Prefetch16,Combined,0.3389,878.3,39.36,+39.36
15k_0p41.mtx,4,RegBlock8 + Prefetch8,Combined,0.3244,917.6,41.96,+41.96
