matrix,rows,cols,density_pct,threads,definitely_lost_bytes,definitely_lost_blocks,indirectly_lost_bytes,indirectly_lost_blocks,possibly_lost_bytes,possibly_lost_blocks,still_reachable_bytes,still_reachable_blocks,suppressed_bytes,suppressed_blocks,error_summary_count,exit_code,notes
"2k_0p22.mtx",1624,×,0.23%,1,0,in,0,in,0,in,6704,in,bytes,0,0,0,"success"
"2k_0p22.mtx",1624,×,0.23%,4,0,in,0,in,1728,in,8952,in,bytes,0,1,0,"success"
"2k_0p22.mtx",1624,×,0.23%,8,0,in,0,in,4032,in,9848,in,bytes,0,1,0,"success"
"2k_0p22.mtx",1624,×,0.23%,12,0,in,0,in,6336,in,10744,in,bytes,0,1,0,"success"
"2k_0p22.mtx",1624,×,0.23%,16,0,in,0,in,8640,in,11640,in,bytes,0,1,0,"success"
"2k_0p22.mtx",1624,×,0.23%,24,0,in,0,in,13248,in,13432,in,bytes,0,1,0,"success"
"2k_0p52.mtx",2003,×,0.53%,1,0,in,0,in,0,in,8220,in,bytes,0,0,0,"success"
"2k_0p52.mtx",2003,×,0.53%,4,0,in,0,in,1728,in,10468,in,bytes,0,1,0,"success"
"2k_0p52.mtx",2003,×,0.53%,8,0,in,0,in,4032,in,11364,in,bytes,0,1,0,"success"
"2k_0p52.mtx",2003,×,0.53%,12,0,in,0,in,6336,in,12260,in,bytes,0,1,0,"success"
"2k_0p52.mtx",2003,×,0.53%,16,0,in,0,in,8640,in,13156,in,bytes,0,1,0,"success"
"2k_0p52.mtx",2003,×,0.53%,24,0,in,0,in,13248,in,14948,in,bytes,0,1,0,"success"
"5k_9p37.mtx",4562,×,9.37%,1,0,in,0,in,0,in,18456,in,bytes,0,0,0,"success"
"5k_9p37.mtx",4562,×,9.37%,4,0,in,0,in,1728,in,20704,in,bytes,0,1,0,"success"
"5k_9p37.mtx",4562,×,9.37%,8,0,in,0,in,4032,in,21600,in,bytes,0,1,0,"success"
"5k_9p37.mtx",4562,×,9.37%,12,0,in,0,in,6336,in,22496,in,bytes,0,1,0,"success"
"5k_9p37.mtx",4562,×,9.37%,16,0,in,0,in,8640,in,23392,in,bytes,0,1,0,"success"
"5k_9p37.mtx",4562,×,9.37%,24,0,in,0,in,13248,in,25184,in,bytes,0,1,0,"success"
"6k_6p3.mtx",6001,×,6.30%,1,0,in,0,in,0,in,24212,in,bytes,0,0,0,"success"
"6k_6p3.mtx",6001,×,6.30%,4,0,in,0,in,1728,in,26460,in,bytes,0,1,0,"success"
"6k_6p3.mtx",6001,×,6.30%,8,0,in,0,in,4032,in,27356,in,bytes,0,1,0,"success"
"6k_6p3.mtx",6001,×,6.30%,12,0,in,0,in,6336,in,28252,in,bytes,0,1,0,"success"
"6k_6p3.mtx",6001,×,6.30%,16,0,in,0,in,8640,in,29148,in,bytes,0,1,0,"success"
"6k_6p3.mtx",6001,×,6.30%,24,0,in,0,in,13248,in,30940,in,bytes,0,1,0,"success"
"9k_0p77.mtx",8738,×,0.78%,1,0,in,0,in,0,in,35160,in,bytes,0,0,0,"success"
"9k_0p77.mtx",8738,×,0.78%,4,0,in,0,in,1728,in,37408,in,bytes,0,1,0,"success"
"9k_0p77.mtx",8738,×,0.78%,8,0,in,0,in,4032,in,38304,in,bytes,0,1,0,"success"
"9k_0p77.mtx",8738,×,0.78%,12,0,in,0,in,6336,in,39200,in,bytes,0,1,0,"success"
"9k_0p77.mtx",8738,×,0.78%,16,0,in,0,in,8640,in,40096,in,bytes,0,1,0,"success"
"9k_0p77.mtx",8738,×,0.78%,24,0,in,0,in,13248,in,41888,in,bytes,0,1,0,"success"
