num_procs,matrix,rows,cols,nnz,density_pct,config_name,avg_time_ms,std_dev_ms,min_time_ms,max_time_ms,comm_time_ms,compute_time_ms,speedup,efficiency_pct,iterations,notes
2,916k_0p0006.mtx,916428,916428,5105039,0.0006,MPI_Bcast+Gatherv,597.5004,3.0456,592.9992,602.8750,559.6317,38.6685,1.0000,50.00,10,""
2,916k_0p0006.mtx,916428,916428,5105039,0.0006,Ibcast+Overlap,597.9960,6.3414,596.9982,617.9998,564.2721,35.5257,0.9992,49.96,10,""
4,916k_0p0006.mtx,916428,916428,5105039,0.0006,MPI_Bcast+Gatherv,1646.0094,64.1259,1531.9588,1733.9988,1585.1506,53.8495,1.0000,25.00,10,""
4,916k_0p0006.mtx,916428,916428,5105039,0.0006,Ibcast+Overlap,1851.4832,264.6316,1570.0066,2243.9873,1830.6336,43.9625,0.8890,22.23,10,""
2,916k_0p0006.mtx,916428,916428,5105039,0.0006,MPI_Bcast+Gatherv,598.0177,7.3031,597.9593,620.0414,563.8207,37.1818,1.0000,50.00,10,""
2,916k_0p0006.mtx,916428,916428,5105039,0.0006,Ibcast+Overlap,598.0016,5.6907,594.9981,614.9976,563.2940,36.3019,1.0000,50.00,10,""
4,916k_0p0006.mtx,916428,916428,5105039,0.0006,MPI_Bcast+Gatherv,1081.4990,40.7758,1001.0324,1148.0029,1035.2555,38.0438,1.0000,25.00,10,""
4,916k_0p0006.mtx,916428,916428,5105039,0.0006,Ibcast+Overlap,1022.0132,159.1775,980.0167,1343.9858,1083.5227,27.9817,1.0582,26.46,10,""
8,916k_0p0006.mtx,916428,916428,5105039,0.0006,MPI_Bcast+Gatherv,1215.9989,69.7745,1151.9949,1411.9749,1203.1357,32.3807,1.0000,12.50,10,""
8,916k_0p0006.mtx,916428,916428,5105039,0.0006,Ibcast+Overlap,1262.5455,53.5961,1184.1717,1375.9911,1228.8636,31.9465,0.9631,12.04,10,""
16,916k_0p0006.mtx,916428,916428,5105039,0.0006,MPI_Bcast+Gatherv,2691.9854,53.4216,2623.0047,2754.0202,2691.3942,3.5532,1.0000,6.25,10,""
16,916k_0p0006.mtx,916428,916428,5105039,0.0006,Ibcast+Overlap,3132.9958,204.8957,3007.0374,3585.0296,3196.0224,9.9889,0.8592,5.37,10,""
