num_procs,matrix,rows,cols,nnz,density_pct,config_name,avg_time_ms,std_dev_ms,min_time_ms,max_time_ms,comm_time_ms,compute_time_ms,speedup,efficiency_pct,imbalance,iterations,notes
2,916k_0p0006.mtx,916428,916428,5105039,0.0006,ROW-BASED,609.7990,0.0000,596.8769,621.9997,604.9793,4.8192,1.0000,50.00,1.003,10,""
2,916k_0p0006.mtx,916428,916428,5105039,0.0006,NNZ-BASED,611.3017,0.0000,597.9958,636.0154,606.4047,4.8966,0.9975,49.88,1.003,10,""
4,916k_0p0006.mtx,916428,916428,5105039,0.0006,ROW-BASED,1119.2956,0.0000,1036.0215,1175.9880,1116.5740,2.7208,1.0000,25.00,1.003,10,""
4,916k_0p0006.mtx,916428,916428,5105039,0.0006,NNZ-BASED,1130.8028,0.0000,1054.0080,1218.0161,1128.2685,2.5339,0.9898,24.75,1.003,10,""
8,916k_0p0006.mtx,916428,916428,5105039,0.0006,ROW-BASED,1233.2137,0.0000,1177.9010,1308.0161,1222.1670,11.0461,1.0000,12.50,1.005,10,""
8,916k_0p0006.mtx,916428,916428,5105039,0.0006,NNZ-BASED,1205.8402,0.0000,1154.0544,1252.0192,1204.3250,1.5148,1.0227,12.78,1.005,10,""
16,916k_0p0006.mtx,916428,916428,5105039,0.0006,ROW-BASED,2646.4092,0.0000,2564.0967,2751.9650,2645.4862,0.9223,1.0000,6.25,1.009,10,""
16,916k_0p0006.mtx,916428,916428,5105039,0.0006,NNZ-BASED,2579.2632,0.0000,2432.1098,2628.1962,2578.2473,1.0154,1.0260,6.41,1.009,10,""
32,916k_0p0006.mtx,916428,916428,5105039,0.0006,ROW-BASED,3635.9262,0.0000,3520.0536,3804.0097,3635.0173,0.9083,1.0000,3.12,1.018,10,""
32,916k_0p0006.mtx,916428,916428,5105039,0.0006,NNZ-BASED,3647.4739,0.0000,3512.0142,3844.0106,3646.8562,0.6171,0.9968,3.12,1.018,10,""
64,916k_0p0006.mtx,916428,916428,5105039,0.0006,ROW-BASED,2777.0361,0.0000,2496.5572,2948.0257,2776.4577,0.5774,1.0000,1.56,1.027,10,""
64,916k_0p0006.mtx,916428,916428,5105039,0.0006,NNZ-BASED,2771.7787,0.0000,2498.1937,2973.6056,2771.3744,0.4037,1.0019,1.57,1.027,10,""
128,916k_0p0006.mtx,916428,916428,5105039,0.0006,ROW-BASED,8083.5805,0.0000,7678.0446,8806.6919,8083.3606,0.2191,1.0000,0.78,1.046,10,""
128,916k_0p0006.mtx,916428,916428,5105039,0.0006,NNZ-BASED,8372.5982,0.0000,8000.1438,8613.0488,8372.3875,0.2100,0.9655,0.75,1.046,10,""
