matrix,rows,cols,density_pct,threads,speedup_x,serial_ms,parallel_ms,exit_code,notes
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,2,111.38,111.910881,1.004727,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,4,143.50,111.932886,0.780011,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,8,222.59,111.989082,0.503120,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,12,230.86,112.067470,0.485432,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,16,235.60,112.002372,0.475396,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,18,271.65,111.919472,0.412006,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,20,284.15,111.979160,0.394083,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,22,280.12,112.068802,0.400079,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,24,254.46,112.320303,0.441409,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,2,368.98,149.414816,0.404945,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,4,505.22,149.466424,0.295846,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,8,641.20,149.309359,0.232859,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,12,743.69,148.669199,0.199909,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,16,771.35,137.813624,0.178666,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,18,763.20,138.467082,0.181430,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,20,729.46,141.945412,0.194589,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,22,722.16,135.196014,0.187212,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,24,722.65,135.180714,0.187063,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,2,289.83,126.234094,0.435546,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,4,511.87,141.672823,0.276776,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,8,601.03,140.196412,0.233262,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,12,576.96,140.267370,0.243117,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,16,592.79,140.406783,0.236856,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,18,560.70,140.750277,0.251025,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,20,587.00,140.666067,0.239636,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,22,635.04,140.384048,0.221064,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,24,603.99,140.667282,0.232896,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,2,235.67,295.809307,1.255191,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,4,373.90,296.340190,0.792564,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,8,440.95,296.212461,0.671756,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,12,586.72,296.550849,0.505440,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,16,504.81,296.161981,0.586683,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,18,619.92,295.965783,0.477427,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,20,776.37,278.776542,0.359078,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,22,718.40,273.904320,0.381268,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,24,689.99,276.215196,0.400316,0,""
"matrices/20k_0p38.mtx",20374,20374,0.38zero entries,2,533.45,514.463434,0.964413,0,""
"matrices/20k_0p38.mtx",20374,20374,0.38zero entries,4,566.99,515.007728,0.908316,0,""
"matrices/20k_0p38.mtx",20374,20374,0.38zero entries,8,732.62,514.968341,0.702910,0,""
"matrices/20k_0p38.mtx",20374,20374,0.38zero entries,12,1072.78,515.087046,0.480142,0,""
"matrices/20k_0p38.mtx",20374,20374,0.38zero entries,16,1179.82,515.692335,0.437095,0,""
"matrices/20k_0p38.mtx",20374,20374,0.38zero entries,18,983.38,494.463956,0.502821,0,""
"matrices/20k_0p38.mtx",20374,20374,0.38zero entries,20,917.68,484.425136,0.527881,0,""
"matrices/20k_0p38.mtx",20374,20374,0.38zero entries,22,918.89,518.600391,0.564377,0,""
"matrices/20k_0p38.mtx",20374,20374,0.38zero entries,24,875.81,515.678893,0.588804,0,""
"matrices/25k_0p03.mtx",25228,25228,0.03zero entries,2,2290.63,794.377106,0.346794,0,""
"matrices/25k_0p03.mtx",25228,25228,0.03zero entries,4,2783.49,794.666446,0.285493,0,""
"matrices/25k_0p03.mtx",25228,25228,0.03zero entries,8,2909.71,756.123862,0.259862,0,""
"matrices/25k_0p03.mtx",25228,25228,0.03zero entries,12,3215.72,757.989133,0.235714,0,""
"matrices/25k_0p03.mtx",25228,25228,0.03zero entries,16,3389.86,783.962374,0.231267,0,""
"matrices/25k_0p03.mtx",25228,25228,0.03zero entries,18,3360.02,792.961179,0.235999,0,""
"matrices/25k_0p03.mtx",25228,25228,0.03zero entries,20,3477.67,775.385113,0.222961,0,""
"matrices/25k_0p03.mtx",25228,25228,0.03zero entries,22,3221.52,719.839114,0.223447,0,""
"matrices/25k_0p03.mtx",25228,25228,0.03zero entries,24,3437.85,781.598517,0.227351,0,""
"matrices/2k_0p22.mtx",1624,1624,0.23zero entries,2,426.76,3.196123,0.007489,0,""
"matrices/2k_0p22.mtx",1624,1624,0.23zero entries,4,305.02,3.207542,0.010516,0,""
"matrices/2k_0p22.mtx",1624,1624,0.23zero entries,8,339.08,3.259342,0.009612,0,""
"matrices/2k_0p22.mtx",1624,1624,0.23zero entries,12,246.24,3.302926,0.013413,0,""
"matrices/2k_0p22.mtx",1624,1624,0.23zero entries,16,257.63,3.301331,0.012814,0,""
"matrices/2k_0p22.mtx",1624,1624,0.23zero entries,18,250.56,3.300987,0.013174,0,""
"matrices/2k_0p22.mtx",1624,1624,0.23zero entries,20,263.60,3.510494,0.013318,0,""
"matrices/2k_0p22.mtx",1624,1624,0.23zero entries,22,237.79,3.383148,0.014227,0,""
"matrices/2k_0p22.mtx",1624,1624,0.23zero entries,24,251.70,3.516491,0.013971,0,""
"matrices/2k_0p52.mtx",2003,2003,0.53zero entries,2,281.81,4.881496,0.017322,0,""
"matrices/2k_0p52.mtx",2003,2003,0.53zero entries,4,358.88,4.870002,0.013570,0,""
"matrices/2k_0p52.mtx",2003,2003,0.53zero entries,8,294.01,4.871509,0.016569,0,""
"matrices/2k_0p52.mtx",2003,2003,0.53zero entries,12,215.44,5.024738,0.023323,0,""
"matrices/2k_0p52.mtx",2003,2003,0.53zero entries,16,160.22,5.029300,0.031391,0,""
"matrices/2k_0p52.mtx",2003,2003,0.53zero entries,18,141.15,5.028824,0.035628,0,""
"matrices/2k_0p52.mtx",2003,2003,0.53zero entries,20,112.65,4.882333,0.043342,0,""
"matrices/2k_0p52.mtx",2003,2003,0.53zero entries,22,116.41,5.031497,0.043221,0,""
"matrices/2k_0p52.mtx",2003,2003,0.53zero entries,24,122.31,5.355600,0.043786,0,""
