matrix,rows,cols,density_pct,nnz,threads_per_rank,omp_time_ms,mpi_time_ms,speedup
1135k_0p0002.mtx,1134890,1134890,-1.16,-14940513620,48,173.831949,115.589672,1.50
1508k_0p0012.mtx,1508065,1508065,-2.54,-57766205123,48,223.284918,142.695824,1.56
1585k_0p0002.mtx,1585478,1585478,0.65,16339313175,48,183.371846,124.999550,1.47
262k_0p0011.mtx,262144,262144,inf,0,48,81.730735,73.169947,1.12
326k_0p0030.mtx,325557,325557,-0.23,-243770928,48,77.028088,69.237947,1.11
36k_0p17.mtx,36417,36417,0.33,4376453,48,47.551763,58.888727,0.81
3998k_0p0002.mtx,3997962,3997962,3.26,521068625002,48,662.691268,467.224386,1.42
4194k_0p0001.mtx,4194304,4194304,inf,0,48,369.526242,275.630580,1.34
5155k_0p0004.mtx,5154859,5154859,-25.35,-6736146827054,48,693.863702,942.664597,0.74
916k_0p0006.mtx,916428,916428,-0.26,-2183584725,48,128.609968,111.177206,1.16
98k_0p52.mtx,98303,98303,9.34,902569014,48,82.116762,69.919878,1.17
