num_procs,matrix,rows,cols,nnz,density_pct,config_name,avg_time_ms,std_dev_ms,min_time_ms,max_time_ms,comm_time_ms,compute_time_ms,speedup,efficiency_pct,iterations,notes
2,916k_0p0006.mtx,916428,916428,5105039,0.0006,Pipelined_Chunked,702.0224,18.6926,701.9863,754.1518,591.8904,25.6234,1.0000,50.00,10,""
2,916k_0p0006.mtx,916428,916428,5105039,0.0006,Pipelined_Chunked,727.9992,7.6605,714.0000,743.1598,597.6402,23.6268,1.0000,50.00,10,""
4,916k_0p0006.mtx,916428,916428,5105039,0.0006,Pipelined_Chunked,1158.4902,86.9101,1056.0243,1320.0357,1045.2930,28.2519,1.0000,25.00,10,""
8,916k_0p0006.mtx,916428,916428,5105039,0.0006,Pipelined_Chunked,2459.7877,116.1835,2200.1657,2552.4697,2266.5009,5.9998,1.0000,12.50,10,""
16,916k_0p0006.mtx,916428,916428,5105039,0.0006,Pipelined_Chunked,9334.5034,221.6262,9149.6606,9688.8287,9337.5759,3.1752,1.0000,6.25,10,""
32,916k_0p0006.mtx,916428,916428,5105039,0.0006,Pipelined_Chunked,12911.9880,1323.8177,10383.9979,14620.9991,12556.8121,2.0317,1.0000,3.12,10,""
64,916k_0p0006.mtx,916428,916428,5105039,0.0006,Pipelined_Chunked,27361.9330,1099.4117,26500.9973,30300.9737,26989.8484,545.1453,1.0000,1.56,10,""
128,916k_0p0006.mtx,916428,916428,5105039,0.0006,Pipelined_Chunked,56981.1722,1360.3030,55031.0142,59552.9709,56684.4947,388.5582,1.0000,0.78,10,""
2,1508k_0p0012.mtx,1508065,1508065,27090195,0.0012,Pipelined_Chunked,1065.5938,13.5239,1064.4052,1098.4032,776.8909,28.3845,1.0000,50.00,10,""
4,1508k_0p0012.mtx,1508065,1508065,27090195,0.0012,Pipelined_Chunked,1230.6939,102.4626,1056.0195,1363.9615,936.8821,18.6458,1.0000,25.00,10,""
8,1508k_0p0012.mtx,1508065,1508065,27090195,0.0012,Pipelined_Chunked,1582.5459,100.1323,1490.8507,1754.0078,1329.1250,4.7551,1.0000,12.50,10,""
16,1508k_0p0012.mtx,1508065,1508065,27090195,0.0012,Pipelined_Chunked,2464.9839,160.2862,2284.5483,2725.1706,2285.8563,2.1601,1.0000,6.25,10,""
32,1508k_0p0012.mtx,1508065,1508065,27090195,0.0012,Pipelined_Chunked,2112.0249,141.3446,1930.9554,2319.7961,2069.7042,1.1856,1.0000,3.12,10,""
