num_procs,rows_per_proc,nnz_per_proc,global_rows,global_cols,total_nnz,density_pct,config_name,avg_time_ms,std_dev_ms,min_time_ms,max_time_ms,comm_time_ms,compute_time_ms,iterations,notes
2,200000,40000000,400000,400000,79981086,0.049988,MPI_Bcast+Gatherv,441.9980,2.5292,436.0008,446.9993,304.0981,137.5005,10,"weak_scaling"
2,200000,40000000,400000,400000,79981086,0.049988,Ibcast/Igatherv,441.5014,2.5006,435.9992,447.0017,303.1503,138.3483,10,"weak_scaling"
2,200000,40000000,400000,400000,79981086,0.049988,Async_Collectives,519.4994,3.4740,511.9853,523.0007,379.8851,138.3126,10,"weak_scaling"
4,200000,40000000,800000,800000,159960551,0.024994,MPI_Bcast+Gatherv,1234.5004,35.2084,1195.0028,1318.0046,935.9204,307.4782,10,"weak_scaling"
4,200000,40000000,800000,800000,159960551,0.024994,Ibcast/Igatherv,1302.0014,138.0453,1150.9840,1486.9974,1118.6454,197.1526,10,"weak_scaling"
4,200000,40000000,800000,800000,159960551,0.024994,Async_Collectives,1581.9986,126.7329,1426.9922,1850.9965,1425.6188,175.0798,10,"weak_scaling"
8,200000,40000000,1600000,1600000,319980352,0.012499,MPI_Bcast+Gatherv,3328.0017,57.0238,3200.9962,3359.9963,2547.2033,755.1956,10,"weak_scaling"
8,200000,40000000,1600000,1600000,319980352,0.012499,Ibcast/Igatherv,3455.5002,185.0079,3167.9907,3744.9987,2661.8556,774.8439,10,"weak_scaling"
8,200000,40000000,1600000,1600000,319980352,0.012499,Async_Collectives,4640.5014,160.7411,4325.0000,4740.0012,3810.6360,762.2626,10,"weak_scaling"
16,200000,40000000,3200000,3200000,639957874,0.006250,MPI_Bcast+Gatherv,12929.9906,339.7678,12480.0096,13503.9849,10722.9015,2275.8956,10,"weak_scaling"
16,200000,40000000,3200000,3200000,639957874,0.006250,Ibcast/Igatherv,14143.9867,747.9097,13380.0077,15498.9932,11980.1143,2361.8850,10,"weak_scaling"
16,200000,40000000,3200000,3200000,639957874,0.006250,Async_Collectives,19838.5006,524.0902,19006.9993,20527.9961,17446.3033,2329.2956,10,"weak_scaling"
32,200000,40000000,6400000,6400000,1279966042,0.003125,MPI_Bcast+Gatherv,20339.0007,583.9611,19989.8479,21585.7425,18067.8533,2480.4426,10,"weak_scaling"
32,200000,40000000,6400000,6400000,1279966042,0.003125,Ibcast/Igatherv,29916.4441,367.4714,29362.3993,30312.0384,26558.6605,3331.6300,10,"weak_scaling"
32,200000,40000000,6400000,6400000,1279966042,0.003125,Async_Collectives,50927.5929,11605.0150,39918.0179,66145.2265,49384.9039,2511.5053,10,"weak_scaling"
64,200000,40000000,12800000,12800000,2560016606,0.001563,MPI_Bcast+Gatherv,63977.9966,879.9332,62153.3265,64770.1519,63339.1150,342.4174,10,"weak_scaling"
64,200000,40000000,12800000,12800000,2560016606,0.001563,Ibcast/Igatherv,62159.3044,26554.0897,60701.3030,111093.0531,75076.8370,1900.1477,10,"weak_scaling"
64,200000,40000000,12800000,12800000,2560016606,0.001563,Async_Collectives,85013.1285,823.9225,83332.0060,85876.3690,82491.6854,2219.4130,10,"weak_scaling"
128,200000,40000000,25600000,25600000,5119987201,0.000781,MPI_Bcast+Gatherv,156308.1867,1680.3998,154628.1528,160920.0318,156183.1705,449.7760,10,"weak_scaling"
128,200000,40000000,25600000,25600000,5119987201,0.000781,Ibcast/Igatherv,272248.7001,1726.3875,269023.9522,274109.5448,271514.6943,415.2927,10,"weak_scaling"
128,200000,40000000,25600000,25600000,5119987201,0.000781,Async_Collectives,356778.4986,2497.0199,353158.9890,360642.2260,356480.1754,485.2208,10,"weak_scaling"
