matrix,rows,cols,density_pct,threads,l1_dcache_loads,l1_dcache_misses,l1_miss_rate,llc_loads,llc_misses,llc_miss_rate,cache_refs,cache_misses,cache_miss_rate,time_ms,exit_code,notes
"10k_0p76.mtx",9506,×,"NA",1,11112501185,210126066,1.8909,<not,<not,,361395650,1290007,0.3570,2014.41,0,"success"
"10k_0p76.mtx",9506,×,"NA",2,11140256334,208429232,1.8710,<not,<not,,359177799,1316841,0.3666,1452.13,0,"success"
"10k_0p76.mtx",9506,×,"NA",4,11177641681,211455550,1.8918,<not,<not,,361854075,1310248,0.3621,1288.24,0,"success"
"10k_0p76.mtx",9506,×,"NA",8,11338640170,211182055,1.8625,<not,<not,,353857391,1345085,0.3801,1303.77,0,"success"
"10k_0p76.mtx",9506,×,"NA",12,11432481058,212966506,1.8628,<not,<not,,353120417,1365463,0.3867,1235.61,0,"success"
"10k_0p76.mtx",9506,×,"NA",16,11542787155,216732653,1.8776,<not,<not,,354839313,1369801,0.3860,1181.06,0,"success"
"10k_0p76.mtx",9506,×,"NA",18,11587489240,217149588,1.8740,<not,<not,,355725079,1384585,0.3892,1180.06,0,"success"
"11k_0p18.mtx",10974,×,"NA",1,13897088345,341677610,2.4586,<not,<not,,547631919,1501513,0.2742,2387.31,0,"success"
"11k_0p18.mtx",10974,×,"NA",2,13921232037,341279454,2.4515,<not,<not,,545282850,1532796,0.2811,1837.24,0,"success"
"11k_0p18.mtx",10974,×,"NA",4,13961992818,341680736,2.4472,<not,<not,,544370579,1538798,0.2827,1563.40,0,"success"
"11k_0p18.mtx",10974,×,"NA",8,14131834111,351039624,2.4840,<not,<not,,550168982,1575439,0.2864,1585.43,0,"success"
"11k_0p18.mtx",10974,×,"NA",12,14218960267,349411663,2.4574,<not,<not,,545767005,1591213,0.2916,1484.29,0,"success"
"11k_0p18.mtx",10974,×,"NA",16,14338022993,352579860,2.4591,<not,<not,,549164182,1579445,0.2876,1438.45,0,"success"
"11k_0p18.mtx",10974,×,"NA",18,14372852799,355540560,2.4737,<not,<not,,552348384,1612183,0.2919,1423.62,0,"success"
"11k_0p38.mtx",10605,×,"NA",1,13233689210,321101788,2.4264,<not,<not,,507466926,1789207,0.3526,2233.44,0,"success"
"11k_0p38.mtx",10605,×,"NA",2,13258761886,321267771,2.4231,<not,<not,,506033801,1854021,0.3664,1747.91,0,"success"
"11k_0p38.mtx",10605,×,"NA",4,13305956177,321660759,2.4174,<not,<not,,504386451,1776494,0.3522,1512.80,0,"success"
"11k_0p38.mtx",10605,×,"NA",8,13462646221,324171388,2.4079,<not,<not,,501998366,1897975,0.3781,1528.49,0,"success"
"11k_0p38.mtx",10605,×,"NA",12,13521594092,322928661,2.3882,<not,<not,,500465943,1875145,0.3747,1427.23,0,"success"
"11k_0p38.mtx",10605,×,"NA",16,13657988318,330098638,2.4169,<not,<not,,507269118,1884244,0.3714,1402.10,0,"success"
"11k_0p38.mtx",10605,×,"NA",18,13709591087,330662001,2.4119,<not,<not,,507260474,1867258,0.3681,1344.39,0,"success"
"15k_0p41.mtx",15449,×,"NA",1,27528062400,730547142,2.6538,<not,<not,,1105712994,2816186,0.2547,4666.69,0,"success"
"15k_0p41.mtx",15449,×,"NA",2,27552179104,729113207,2.6463,<not,<not,,1101196574,2782649,0.2527,3571.48,0,"success"
"15k_0p41.mtx",15449,×,"NA",4,27591839690,730125563,2.6462,<not,<not,,1101432927,2807659,0.2549,3065.77,0,"success"
"15k_0p41.mtx",15449,×,"NA",8,27781963168,742655152,2.6732,<not,<not,,1114733028,2877759,0.2582,3047.01,0,"success"
"15k_0p41.mtx",15449,×,"NA",12,27861016006,736844742,2.6447,<not,<not,,1101878771,2804356,0.2545,2947.91,0,"success"
"15k_0p41.mtx",15449,×,"NA",16,27974906085,739511277,2.6435,<not,<not,,1106390033,2889005,0.2611,2806.33,0,"success"
"15k_0p41.mtx",15449,×,"NA",18,28031481463,742390009,2.6484,<not,<not,,1109315892,2890987,0.2606,2756.96,0,"success"
"2k_0p15.mtx",1624,×,"NA",1,301406298,2288059,0.7591,<not,<not,,8609276,100962,1.1727,56.50,0,"success"
"2k_0p15.mtx",1624,×,"NA",2,309338501,2277328,0.7362,<not,<not,,8641936,107759,1.2469,57.19,0,"success"
"2k_0p15.mtx",1624,×,"NA",4,327558116,2281586,0.6965,<not,<not,,8638115,103886,1.2026,73.07,0,"success"
"2k_0p15.mtx",1624,×,"NA",8,337098846,2295685,0.6810,<not,<not,,8622398,106497,1.2351,35.86,0,"success"
"2k_0p15.mtx",1624,×,"NA",12,350774100,2302237,0.6563,<not,<not,,8641947,104782,1.2125,33.00,0,"success"
"2k_0p15.mtx",1624,×,"NA",16,371281936,2323393,0.6258,<not,<not,,8713089,117992,1.3542,32.64,0,"success"
"2k_0p15.mtx",1624,×,"NA",18,384757386,2372858,0.6167,<not,<not,,8887170,127058,1.4297,35.48,0,"success"
"2k_0p30.mtx",2003,×,"NA",1,468815405,2737885,0.5840,<not,<not,,10478217,186292,1.7779,81.52,0,"success"
"2k_0p30.mtx",2003,×,"NA",2,480327011,2764512,0.5755,<not,<not,,10161900,176929,1.7411,82.20,0,"success"
"2k_0p30.mtx",2003,×,"NA",4,507290872,2748693,0.5418,<not,<not,,10237827,171321,1.6734,76.71,0,"success"
"2k_0p30.mtx",2003,×,"NA",8,519673826,2778661,0.5347,<not,<not,,10327740,193213,1.8708,54.73,0,"success"
"2k_0p30.mtx",2003,×,"NA",12,541243724,2793614,0.5161,<not,<not,,10421553,192672,1.8488,55.87,0,"success"
"2k_0p30.mtx",2003,×,"NA",16,572526875,2897174,0.5060,<not,<not,,10696729,195566,1.8283,50.11,0,"success"
"2k_0p30.mtx",2003,×,"NA",18,704993651,3009862,0.4269,<not,<not,,10897414,206059,1.8909,99.31,0,"success"
"5k_9p37.mtx",4562,×,"NA",1,4985608494,69484740,1.3937,<not,<not,,133782135,1533432,1.1462,718.46,0,"success"
"5k_9p37.mtx",4562,×,"NA",2,5007326013,69431159,1.3866,<not,<not,,132778694,1370405,1.0321,603.98,0,"success"
"5k_9p37.mtx",4562,×,"NA",4,5054574023,69392077,1.3729,<not,<not,,132191276,1390997,1.0523,567.94,0,"success"
"5k_9p37.mtx",4562,×,"NA",8,5159041901,76390275,1.4807,<not,<not,,139864957,1395871,0.9980,597.46,0,"success"
"5k_9p37.mtx",4562,×,"NA",12,5249742324,81182734,1.5464,<not,<not,,145023298,1480555,1.0209,579.85,0,"success"
"5k_9p37.mtx",4562,×,"NA",16,5331166703,83195055,1.5605,<not,<not,,146741141,1423999,0.9704,543.98,0,"success"
"5k_9p37.mtx",4562,×,"NA",18,5385735859,86451688,1.6052,<not,<not,,150051528,1479914,0.9863,528.98,0,"success"
"6k_3p16.mtx",6001,×,"NA",1,5280660041,84790002,1.6057,<not,<not,,206355508,1814815,0.8795,850.26,0,"success"
"6k_3p16.mtx",6001,×,"NA",2,5306286111,84006455,1.5831,<not,<not,,203793249,1824031,0.8950,710.98,0,"success"
"6k_3p16.mtx",6001,×,"NA",4,5350313890,85967311,1.6068,<not,<not,,204243866,1540740,0.7544,626.80,0,"success"
"6k_3p16.mtx",6001,×,"NA",8,5482926018,90140721,1.6440,<not,<not,,203378818,1598694,0.7861,627.69,0,"success"
"6k_3p16.mtx",6001,×,"NA",12,5538913046,91103153,1.6448,<not,<not,,204945298,1620903,0.7909,608.78,0,"success"
"6k_3p16.mtx",6001,×,"NA",16,5636647806,97563372,1.7309,<not,<not,,209647113,1604987,0.7656,577.06,0,"success"
"6k_3p16.mtx",6001,×,"NA",18,5717626755,100224507,1.7529,<not,<not,,212475203,1613067,0.7592,599.18,0,"success"
"9k_0p39.mtx",8738,×,"NA",1,8800365355,164448292,1.8687,<not,<not,,301856812,1378211,0.4566,1536.01,0,"success"
"9k_0p39.mtx",8738,×,"NA",2,8829029380,166427749,1.8850,<not,<not,,302479618,1367975,0.4523,1228.29,0,"success"
"9k_0p39.mtx",8738,×,"NA",4,8875589434,169810521,1.9132,<not,<not,,303741329,1411014,0.4645,1048.23,0,"success"
"9k_0p39.mtx",8738,×,"NA",8,9018569545,170865510,1.8946,<not,<not,,300209773,1415347,0.4715,1006.62,0,"success"
"9k_0p39.mtx",8738,×,"NA",12,9093973293,169476460,1.8636,<not,<not,,295987652,1466241,0.4954,979.36,0,"success"
"9k_0p39.mtx",8738,×,"NA",16,9210515033,177503440,1.9272,<not,<not,,302050220,1450155,0.4801,927.75,0,"success"
"9k_0p39.mtx",8738,×,"NA",18,9256229879,181768305,1.9637,<not,<not,,306011872,1478757,0.4832,930.55,0,"success"
