matrix,rows,cols,density_pct,nnz,threads,configuration,time_ms,speedup,efficiency_pct,std_dev_ms,improvement_pct,exit_code,notes
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Static (default)",36.860,3.88,16.2,0.060,0.00,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Static, chunk=8",36.826,3.89,16.2,0.028,0.09,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Static, chunk=32",36.793,3.89,16.2,0.012,0.18,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Dynamic, chunk=8",36.814,3.89,16.2,0.012,0.12,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Dynamic, chunk=16",36.799,3.89,16.2,0.011,0.17,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Dynamic, chunk=32",36.793,3.89,16.2,0.011,0.18,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Dynamic, chunk=64",37.216,3.85,16.0,0.014,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Guided, chunk=8",36.760,3.89,16.2,0.014,0.27,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Guided, chunk=16",36.758,3.89,16.2,0.016,0.28,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Guided, chunk=32",36.805,3.89,16.2,0.009,0.15,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Auto (runtime)",36.728,3.90,16.2,0.012,0.36,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Static+SIMD, chunk=8",0.128,1120.52,4668.8,0.002,99.65,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Static+SIMD, chunk=16",0.123,1166.44,4860.2,0.001,99.67,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Static+SIMD, chunk=32",0.123,1165.62,4856.7,0.001,99.67,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Dynamic+SIMD, chunk=8",0.165,866.01,3608.4,0.002,99.55,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Dynamic+SIMD, chunk=16",0.139,1026.04,4275.2,0.002,99.62,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Dynamic+SIMD, chunk=32",0.129,1105.33,4605.5,0.001,99.65,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,4,"Guided+SIMD, chunk=8",0.119,1204.62,5019.3,0.002,99.68,0,""
