matrix,rows,cols,density_pct,threads,speedup_x,serial_ms,parallel_ms,exit_code,notes
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,2,2.03,119.708747,58.912249,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,4,3.88,115.541603,29.784990,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,8,7.56,113.947405,15.079908,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,12,11.22,116.035288,10.343061,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,16,14.67,114.218700,7.786736,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,18,16.67,116.713454,7.002910,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,20,18.24,115.594979,6.337619,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,22,20.03,116.731637,5.828359,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,24,21.75,116.873949,5.373149,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,2,1.95,153.961625,78.754050,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,4,3.88,153.102837,39.502453,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,8,7.61,152.414160,20.032170,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,12,11.38,154.980538,13.623667,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,16,14.84,153.701007,10.357721,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,18,16.52,153.052169,9.267114,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,20,18.32,153.566074,8.383991,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,22,20.16,155.265459,7.699868,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,24,21.88,155.242434,7.094166,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,2,1.92,141.355938,73.564152,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,4,3.88,143.226296,36.912638,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,8,7.62,141.918524,18.634298,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,12,10.96,140.538885,12.817679,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,16,14.72,142.789635,9.698523,0,""
