matrix,rows,cols,density_pct,nnz,threads,configuration,bind_policy,time_ms,speedup,efficiency_pct,std_dev_ms,improvement_pct,exit_code,notes
"10k_1p5.mtx",10k_1p5.mtx,NA,NA,NA,24,"Static+SIMD+Affinity+spread","spread",0.09,1318.23,5492.62,0.0,+0.00,0,""
"10k_1p5.mtx",10k_1p5.mtx,NA,NA,NA,24,"Static+SIMD+close","close",0.09,1310.14,5458.90,0.0,-0.62,0,""
"10k_1p5.mtx",10k_1p5.mtx,NA,NA,NA,24,"Static+SIMD+spread","spread",0.09,1266.38,5276.60,0.0,-4.09,0,""
"10k_1p5.mtx",10k_1p5.mtx,NA,NA,NA,24,"Static+SIMD+Register+spread","spread",0.09,1262.11,5258.77,0.0,-4.45,0,""
"10k_1p5.mtx",10k_1p5.mtx,NA,NA,NA,24,"Static+SIMD+Register+close","close",0.10,1217.02,5070.90,0.0,-8.32,0,""
"10k_1p5.mtx",10k_1p5.mtx,NA,NA,NA,24,"Static+SIMD+Affinity+close","close",0.10,1146.95,4778.94,0.0,-14.93,0,""
"10k_1p5.mtx",10k_1p5.mtx,NA,NA,NA,24,"Static+SIMD+master","master",0.10,1145.39,4772.44,0.0,-15.09,0,""
"10k_1p5.mtx",10k_1p5.mtx,NA,NA,NA,24,"Dynamic+SIMD+spread, chunk=32","spread",0.10,1141.48,4756.16,0.0,-15.48,0,""
"10k_1p5.mtx",10k_1p5.mtx,NA,NA,NA,24,"Guided+SIMD+spread, chunk=32","spread",0.10,1128.32,4701.33,0.0,-16.83,0,""
"10k_1p5.mtx",10k_1p5.mtx,NA,NA,NA,24,"Guided+SIMD+spread, chunk=16","spread",0.11,1048.05,4366.87,0.0,-25.78,0,""
"10k_1p5.mtx",10k_1p5.mtx,NA,NA,NA,24,"Dynamic+SIMD+spread, chunk=16","spread",0.12,944.77,3936.54,0.0,-39.53,0,""
"10k_1p5.mtx",10k_1p5.mtx,NA,NA,NA,28,"Static+SIMD+master","master",0.08,1385.26,4947.35,0.0,+0.00,0,""
