matrix,rows,cols,density_pct,nnz,threads,configuration,bind_policy,time_ms,speedup,efficiency_pct,std_dev_ms,improvement_pct,exit_code,notes
"10k_1p5.mtx",9506,9506,1.5037,1358832,24,"Dynamic+SIMD+spread, chunk=32","spread",16.18,1.78,7.40,0.0,+0.00,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,24,"Dynamic+SIMD+spread, chunk=16","spread",17.72,1.62,6.75,0.0,-9.56,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,24,"Guided+SIMD+spread, chunk=16","spread",18.72,1.53,6.39,0.0,-15.73,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,24,"Static+SIMD+spread","spread",19.35,1.48,6.18,0.0,-19.60,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,24,"Guided+SIMD+spread, chunk=32","spread",24.41,1.18,4.90,0.0,-50.92,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,24,"Static+SIMD+Affinity+spread","spread",28.44,1.01,4.21,0.0,-75.83,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,24,"Static+SIMD+Register+spread","spread",28.71,1.00,4.17,0.0,-77.51,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,48,"Static+SIMD+Register+spread","spread",0.14,1.23,2.56,0.0,+0.00,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,48,"Dynamic+SIMD+spread, chunk=32","spread",0.14,1.22,2.53,0.0,-1.05,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,48,"Static+SIMD+Affinity+spread","spread",0.15,1.18,2.46,0.0,-4.12,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,48,"Guided+SIMD+spread, chunk=32","spread",0.15,1.18,2.45,0.0,-4.23,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,48,"Static+SIMD+spread","spread",0.15,1.15,2.40,0.0,-6.68,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,48,"Dynamic+SIMD+spread, chunk=16","spread",0.15,1.12,2.34,0.0,-9.19,0,""
"10k_1p5.mtx",9506,9506,1.5037,1358832,48,"Guided+SIMD+spread, chunk=16","spread",0.17,1.00,2.08,0.0,-22.78,0,""
