matrix,rows,cols,density_pct,nnz,threads,configuration,time_ms,speedup,efficiency_pct,std_dev_ms,improvement_pct,exit_code,notes
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static (default)",110.856,1.01,4.2,0.876,0.00,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static, chunk=8",110.604,1.01,4.2,0.244,0.23,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static, chunk=32",110.562,1.02,4.2,0.157,0.26,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic, chunk=8",110.546,1.02,4.2,0.023,0.28,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic, chunk=16",110.525,1.02,4.2,0.024,0.30,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic, chunk=32",110.505,1.02,4.2,0.022,0.32,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic, chunk=64",110.504,1.02,4.2,0.020,0.32,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided, chunk=8",110.501,1.02,4.2,0.028,0.32,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided, chunk=16",110.531,1.02,4.2,0.121,0.29,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided, chunk=32",110.508,1.02,4.2,0.068,0.31,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Auto (runtime)",110.611,1.01,4.2,0.298,0.22,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD, chunk=8",1.555,72.15,300.6,0.004,98.60,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD, chunk=16",1.543,72.74,303.1,0.003,98.61,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD, chunk=32",1.539,72.90,303.8,0.003,98.61,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic+SIMD, chunk=8",1.587,70.74,294.7,0.012,98.57,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic+SIMD, chunk=16",1.562,71.83,299.3,0.004,98.59,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic+SIMD, chunk=32",1.556,72.13,300.6,0.004,98.60,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD, chunk=8",1.539,72.95,303.9,0.004,98.61,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD, chunk=16",1.537,73.01,304.2,0.004,98.61,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD, chunk=32",1.538,72.98,304.1,0.003,98.61,0,""
