matrix,rows,cols,density_pct,threads,speedup_x,serial_ms,parallel_ms,exit_code,notes
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,2,110.81,109.538447,0.988553,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,4,168.09,109.577861,0.651897,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,8,237.08,106.871112,0.450783,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,12,247.85,110.173334,0.444515,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,16,320.37,109.674751,0.342339,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,18,259.69,109.629941,0.422153,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,20,259.63,111.144994,0.428083,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,22,288.27,110.270786,0.382525,0,""
"matrices/10k_1p5.mtx",9506,9506,1.50zero entries,24,244.80,109.163657,0.445925,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,2,384.55,145.518261,0.378415,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,4,478.71,145.301420,0.303524,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,8,629.39,146.033023,0.232023,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,12,621.86,144.323955,0.232085,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,16,608.82,146.474828,0.240588,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,18,702.20,145.748743,0.207561,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,20,605.96,145.985029,0.240917,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,22,608.17,146.491914,0.240872,0,""
"matrices/11k_0p35.mtx",10974,10974,0.36zero entries,24,676.20,147.905465,0.218730,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,2,322.36,136.884523,0.424626,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,4,468.58,138.822198,0.296264,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,8,519.68,136.990009,0.263606,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,12,540.19,138.804628,0.256957,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,16,552.20,139.298393,0.252260,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,18,613.66,135.957989,0.221552,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,20,616.86,133.680328,0.216712,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,22,571.26,130.620223,0.228651,0,""
"matrices/11k_0p38.mtx",10605,10605,0.38zero entries,24,558.40,128.388329,0.229923,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,2,283.03,280.111081,0.989675,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,4,325.41,280.763367,0.862796,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,8,390.57,279.928346,0.716721,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,12,784.88,289.477695,0.368819,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,16,761.36,284.691733,0.373924,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,18,752.00,281.951558,0.374936,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,20,760.81,268.261322,0.352601,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,22,763.61,268.290691,0.351347,0,""
"matrices/15k_0p41.mtx",15449,15449,0.81zero entries,24,738.43,268.191529,0.363191,0,""
